name,description,cpf,online,duration,unit,level,degree,category,subcategory,organism,cities,price
Illustrator Consolidation,"Maîtriser les outils d'un logiciel de création vectorielle pour réaliser des logos, des plans et des illustrations.",checked,online,3,Day,"Avoir une bonne connaissance de son environnement informatique ou avoir suivi la formation Illustrator Les bases.
Avoir suivi Illustrator Initiation et Illustrator Les bases",Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,Illustrator,Ziggourat Formation,"A distance, Paris",1300
Illustrator initiation,Identifier les principes fondamentaux du dessin vectoriel à travers un logiciel de PAO.,checked,online,5,Day,Avoir une bonne maîtrise de son environnement informatique.,Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d'un logiciel d'édition d'images (ICDL-PCIE),Informatique,Illustrator,Ziggourat Formation,"A distance, Paris",1900
Illustrator Initiation - Parcours multimodal PAO,Identifier et utiliser les fonctionnalités initiales d'un logiciel de création graphique vectorielle pour gagner en créativité.,checked,online,7,Hour,Notions de dessin. Maîtrise de l'environnement informatique. Ordinateur avec carte-son et micro-casque recommandé. Connexion Internet 500 Kbits/s. Responsive : compatible sur smartphone ou tablette.,Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,Illustrator,Ziggourat Formation,"A distance, Paris",0
Illustrator Les bases,"Maîtriser les outils d'un logiciel de création vectorielle pour réaliser des logos, des plans et des illustrations.",checked,online,3,Day,Avoir une bonne maîtrise de son environnement informatique.,Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,Illustrator,Ziggourat Formation,"A distance, Paris",1300
Illustrator Perfectionnement,"Créer, modifier et décliner aisément et de manière poussée vos illustrations à travers un logiciel de création vectorielle.",checked,online,3,Day,"Avoir une bonne connaissance du logiciel et des outils. Avoir suivi
Illustrator consolidation - illustrator initiation","Vous avez la possibilité de passer une certification à l’issue de votre formation :
Utilisation d’un logiciel d’édition d’images (ICDL-PCIE)",Informatique,Illustrator,Ziggourat Formation,"A distance, Paris",1300
InDesign : PDF interactifs,Créer un formulaire interactif à l'aide d'un logiciel de mise en page.,checked,online,1,Day,"Pratique d'InDesign, et connaissance PDF de base",Vous avez la possibilité de passer une certification à l’issue de votre formation :  Utilisation d'un logiciel de PAO (PCIE - ICDL),Informatique,InDesign,Ziggourat Formation,"A distance, Paris",450
InDesign Consolidation,Préparer les styles texte et gérer les images avec plus de productivité via un logiciel de mise en page. Concevoir des documents de manière professionnelle.,checked,online,3,Day,"Avoir une bonne connaissance du logiciel et des outils ou avoir suivi le stage InDesign les bases.
Avoir suivi InDesign Les bases",Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d'un logiciel de PAO (PCIE - ICDL),Informatique,InDesign,Ziggourat Formation,"A distance, Paris",1300
InDesign Expert,"Optimiser la mise en forme, et les modifications de texte. Employer les fonctionnalités avancées afin d'automatiser certaines tâches. Écrire les bases de GREP pour corriger et mettre en forme le texte. Gérer les données de tableaux. Automatiser la mise en forme des données provenant de Word et Excel.",checked,online,3,Day,"Utiliser régulièrement le logiciel Indesign et connaître la plupart de ses fonctions ou avoir suivi le stage InDesign Perfectionnement.
Avoir suivi InDesign Perfectionnement",Vous avez la possibilité de passer une certification à l’issue de votre formation : utilisation d'un logiciel de PAO (PCIE - ICDL),Informatique,InDesign,Ziggourat Formation,"A distance, Paris",1400
InDesign Initiation,"Utiliser un logiciel de PAO afin de créer des mises en pages simples, composer et mettre en forme du texte et des images de façon professionnel et de créer un PDF pour l'impression.",checked,online,5,Day,Connaître et comprendre son environnement de travail.,Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d'un logiciel de PAO (PCIE - ICDL),Informatique,InDesign,Ziggourat Formation,"A distance, Paris",1900
InDesign Initiation - Parcours multimodal PAO,Identifier et utiliser les fonctionnalités initiales d'un logiciel de mise en page pour créer ou modifier des supports élaborés avec aisance et méthode.,checked,online,10,Hour,Notions sur le graphisme. Maîtrise de l'environnement informatique. Ordinateur avec carte-son et micro-casque recommandé. Connexion Internet 500 Kbits/s. Responsive : compatible sur smartphone ou tablette.,Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d'un logiciel de PAO (PCIE - ICDL),Informatique,InDesign,Ziggourat Formation,"A distance, Paris",0
InDesign Les bases,"Utiliser un logiciel de PAO afin de créer des mises en pages simples, composer et mettre en forme du texte et des images de façon professionnel et de créer un PDF pour l'impression.",checked,online,3,Day,Connaître et comprendre son environnement de travail.,Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d'un logiciel de PAO (PCIE - ICDL),Informatique,InDesign,Ziggourat Formation,"A distance, Paris",1300
InDesign Perfectionnement,"Gérer efficacement des documents longs (avec index, tables des matières…) via un logiciel de mise en page.",checked,online,3,Day,Avoir une bonne connaissance du logiciel et des outils ou avoir suivi le stage InDesign Initiation.,Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d'un logiciel de PAO (PCIE - ICDL),Informatique,InDesign,Ziggourat Formation,"A distance, Paris",1300
Infographiste - metteur en page,Préparer les stagiaires au passage du titre professionnel infographiste Metteur en page.,checked,online,114,Day,Justifier d’un niveau baccalauréat ou équivalent ainsi que : des connaissances des fonctions de bases des outils informatiques sont requises pour intégrer la formation - des capacités créatives et un goût pour les nouvelles technologies - dossier de candidature + entretien de validation,Formation diplômante de niveau Bac enregistrée au RNCP délivrée par le Ministère du travail.,Informatique,,Ziggourat Formation,"A distance, Paris",0
Italien certification CLOE,La certification CLOE Italien permet d’évaluer et de certifier les compétences générales et professionnelles en italien du niveau A1 au niveau C2 du Cadre Européen Commun de Référence pour les Langues (CECRL).,checked,online,8,Hour,"Avoir un ordinateur avec une connexion internet, une webcam, un micro",Certification CLOE validée par la CCI France,Langues,Italien,Mda ACADEMY,A distance,890
La RSE (Responsabilité Sociétale d'Entreprise),Formation adaptée à la déficience visuelle et/ou auditive,,face to face,1,Day,"La formation s'adresse à toute personne du secteur privé souhaitant mettre en avant ses critères sociaux, environnementaux et économiques dans le cadre de la réponse à un appel",La formation est également sanctionnée par une attestation individuelle de formation,Développement durable,,Public Arena,Rennes,702
Le Sourcing,Formation adaptée à la déficience visuelle et/ou auditive,,face to face,2,Day,La formation s'adresse aux entreprises qui souhaitent comprendre le Sourcing dans les marchés publics et se faire connaître des acheteurs publics.,"La formation est évaluée par le biais d'une fiche qui porte à la fois sur les aspects organisationnel, méthodologique et pédagogique de la formation ainsi que sur la réponse aux attentes des stagiaires. La formation est également sanctionnée par une attestation individuelle de formation.",Achats,Répondre appel d'offres,Public Arena,Rennes,1308
Lean UX : innover par l'expérience utilisateur,"Intégrer l'utilisateur final d'un produit, d'un projet au processus de création et de test. S'adapter à des cycles projets plus courts et mieux maîtrisés. Travailler et collaborer en équipe.",checked,online,2,Day,Aucun prérequis n'est nécessaire pour cette formation.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Gestion de Projet,Méthodes agiles,Ziggourat Formation,"A distance, Paris",1600
"Les fondamentaux de la création digitale, le design d'interface et ses outils",Identifier les enjeux stratégiques du numérique. Appliquer les concepts créatifs. identifier le design d'interface et ses outils.,checked,online,5,Day,Maîtrise de son environnement informatique et du web.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,,Ziggourat Formation,"A distance, Paris",2500
Les fondamentaux de la prise de vue Photo et retouche avec Photoshop,"Pratiquer la prise de vue en studio et en extérieur. Corriger et sécuriser vos résultats dans un nouvel environnement. Classifier, catégoriser, développer et retoucher des images dans un flux de production photographique numérique. Ajuster l'exposition et la colorimétrie à l'aide de Photoshop.",checked,online,3,Day,"Avoir une expérience de la photo et de l'environnement informatique. Posséder un boîtier numérique. Avoir des bases sur Photoshop.
Avoir suivi Photoshop Initiation",Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,,Ziggourat Formation,"A distance, Paris",1500
Maîtriser Excel,Apprendre les fonctions du tableur Excel pour la saisie de données et de formules simples et la mise en forme des tableaux et graphiques.,checked,online,14,Hour,"Avoir un ordinateur avec une connexion internet, une webcam, un micro",Certification ENI,Informatique,Excel,Mda ACADEMY,A distance,970
Maitriser la production musicale en Home-Studio,"Apprendre à maitriser la production musicale en Home-Studio, pour musicien, producteur, technicien du spectacle vivant, demandeurs d'emploi",,online,3,Month,"Pratique de la musique en amateur ou des techniques audio ; Pratique courante d'internet au quotidien : traitement de texte, internet, réseaux sociaux. Disposer d'un ordinateur et d'une connexion internet",Attestation de stage détaillant les compétences acquises par le stagiaire.,"Journalisme, Médias & Cinéma",,Audio Formation,A distance,2850
Maîtriser le marketing digital,Apprendre à pérenniser son activité d’indépendant en utilisant les leviers digitaux et se faire connaître en ligne,checked,online,40,Hour,"Pratiques régulières du web.
Connaissance des outils de bureautique",Attestation de complétion et un certificat de réussite,Marketing Digital,,Digi Atlas,A distance,2028
Maitriser les technologies numériques pour l'enseignement musical,"Apprendre à maitriser les technologies numérique pour l'enseignement musical, pour professeurs de musique et musiciens intervenants",,online,2,Month,"Pratique courante d'internet au quotidien : traitement de texte, internet, réseaux sociaux, lecteur d'écran pour déficients visuels. Disposer d'un ordinateur et d'une connexion internet",Attestation de stage détaillant les compétences acquises par le stagiaire.,"Journalisme, Médias & Cinéma",,Audio Formation,A distance,1480
Maîtriser Office 365,Découvrir l’environnement de travail proposé par Office 365.,checked,online,14,Hour,"Avoir un ordinateur avec une connexion internet, une webcam, un micro",Certification ENI,Informatique,Office 365,Mda ACADEMY,A distance,970
Maîtriser PowerPoint,"Apprendre les fonctions du logiciel de présentation PowerPoint versions 2019 et Office 365 pour la saisie de texte, la mise en forme de diapositives et l'illustration d'images et objets dessin.",checked,online,16,Hour,"Avoir un ordinateur avec une connexion internet, une webcam, un micro",Certification ENI,Informatique,PowerPoint,Mda ACADEMY,A distance,970
Maîtriser Windows 10,Découvrir l'environnement Microsoft pour optimiser l'utilisation de son ordinateur ou de sa tablette équipé de Windows 10.,checked,online,7,Hour,"Avoir un ordinateur avec une connexion internet, une webcam, un micro",Certification ENI,Informatique,Windows 10,Mda ACADEMY,A distance,970
Maîtriser Word,"Apprendre les fonctions du logiciel Word pour le traitement et la saisie de texte, la mise en forme et l'insertion de tableaux, d'images et d'objets graphiques.",checked,online,16,Hour,"Avoir un ordinateur avec une connexion internet, une webcam, un micro",Certification ENI,Informatique,Word,Mda ACADEMY,A distance,970
"Malvoyants, Non-voyant - Réaliser et diffuser ses podcasts de A à Z",Apprendre à réaliser et diffuser ses podcasts,,online,2,Month,"Pratique courante d'internet au quotidien : traitement de texte, internet, réseaux sociaux, lecteur d'écran pour déficients visuels. Disposer d'un ordinateur et d'une connexion internet",Attestation de stage détaillant les compétences acquises par le stagiaire.,"Journalisme, Médias & Cinéma",,Audio Formation,A distance,1450
Management efficace dans la gestion de conflit,"Cette formation permet d'identifier les caractéristiques de la communication dans une équipe, un conflit et ses manifestations, d'identifier et d'utiliser différentes stratégies de résolution de conflits, d'adopter une posture facilitant la résolution de conflit et le maintien du lien, de gérer une situation de conflit interne et d'établir un bilan et feed-back pour pérenniser la sortie de conflit.",checked,online,2,Day,Aucun prérequis n'est nécessaire pour ce stage.,Vous avez la possibilité de passer une certification à l’issue de votre formation : Management/Gérer un conflit professionnel,Management,Gestion de conflits,Ziggourat Formation,"A distance, Paris",1200
Marketing Digital et Réseaux sociaux,"Les fondamentaux du webmarketing. Apprendre à mettre en place une stratégie webmarketing.
Apprendre les fondamentaux du référencement et référencement payant.
Mettre en place une stratégie social média",checked,online,30,Hour,Aucun,À l’issue de la formation vous pourrez passer si vous le souhaitez la certification Management de la performance qui vous permettra d’attester votre niveau acquis.,Réseaux sociaux,,Goo Formation,A distance,1950
Mécanicien(ne) Animateur(trice) Cycles,"Cette formation immersive et certifiante vise à vous apprendre les métiers de mécanicien cycles en réemploi, et vous forme aussi à l'animation d'activités à destination du public. Organisée en partenariat avec des professionnels spécialisés",checked,face to face,350,Hour,Débutant,Certification: Titre professionnel - Mécanicien réparateur de cycles et motocycles (niveau 3) : Réaliser le montage et le service après-vente des cycles et des vélos à assistance électrique,Manuel,,Make Ici,"Montreuil, Nantes, Marseille",3500
Modélisation 3D (Fusion 360),"Cette formation courte, intensive et certifiante vise à vous former à l'utilisation du logiciel de CAO Fusion 360 afin de concevoir, modelier et présenter des pièces et ensembles en 3D.
Accessible en présentiel ou en ligne, la formation vous offre toutes les clés afin que vous puissiez être autonome en conception 3D, dans le cadre de projets de conception visuelle, de prototyapage, de fabrication traditionnelle ou numérique.",checked,online,32,Hour,Débutant,Certification: Techniques de conception et design de pièces et d'assemblages 3D paramétriques,Informatique,Fusion 360,Make Ici,"Marseille, Nantes",960
Modélisation et fraiseuse CNC,"Cette formation courte, intensive et certifiante vise à vous former à l'utilisation du logiciel de CAO Fusion 360 afin de concevoir et usiner des pièces à l'aide d'une fraiseuse à commande numérique. La formation vous offre toutes les clés afin que vous puissiez être autonome en conception 3D, et vous apprend à monter et à utiliser une fraiseuse CNC, à travers des projets concrets, au sein de nos espaces FabLab.",checked,face to face,64,Hour,Débutant,Certification : Techniques de conception et design de pièces et d'assemblages 3D paramétriques.,Informatique,,Make Ici,"Montreuil, Nantes, Marseille",1920
Modélisation et Impression 3D,"Cette formation courte, intensive et certifiante vise à vous former à l'utilisation du logiciel de CAO Fusion 360 afin de concevoir et imprimer des pièces en 3D, à l'aide d'une imprimante en fabrication additive. La formation vous offre toutes les clés afin que vous puissiez être autonome en conception 3D, et vous apprend à monter et à utiliser une imprimante 3D, à travers des projets concrets, au sein de nos espaces FabLab.",checked,face to face,40,Hour,Débutant,Certification : Techniques de conception et design de pièces et d'assemblages 3D paramétriques.,Informatique,Fusion 360,Make Ici,"Montreuil, Nantes, Marseille",1200
Motion Design : After Effects Initiation et Photoshop,Ajouter des effets spéciaux simples à vos vidéos (3D...) grâce à des logiciels de motion design et de retouche et de traitement de l'image.,checked,online,5,Day,"Des connaissances sur des logiciels graphiques, notamment Photoshop.
Avoir suivi Photoshop Les bases et Photoshop Initiation",Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,Adobe After Effects,Ziggourat Formation,"A distance, Paris",1900
Motion Design : After Effects Perfectionnement et Photoshop,Ajouter des effets spéciaux élaborés à vos vidéos (3D...) grâce à des logiciels de motion design et de retouche et de traitement de l'image.,checked,online,5,Day,"Des connaissances solides sur Photoshop et le logiciel de motion design, After Effects
Avoir suivi Motion Design : After Effects Initiation et Photoshop et Photoshop Initiation",Vous avez la possibilité de passer une certification à l’issue de votre formation : utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,Adobe After Effects,Ziggourat Formation,"A distance, Paris",1900
MS Project pour la maîtrise de la gestion de projet,Maîtriser les techniques avancées de planification et de suivi d’un projet. Optimiser le pilotage de ses projets et appréhender la gestion multi-projets. Utiliser de manière avancée un logiciel de gestion de projet.,checked,online,2,Day,Avoir géré des projets. Avoir une pratique de base de MS Project.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,MS Project,Ziggourat Formation,"A distance, Paris",0
MS Project pour le chef de Projet,Maîtriser les techniques de planification et de suivi d’un projet. Optimiser le pilotage de ses projets et appréhender la gestion multi-projets. Utiliser un logiciel de gestion de projet.,checked,online,2,Day,Connaître l'environnement Windows et idéalement les techniques de planification (PERT Durée ou PERT Charges).,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,MS Project,Ziggourat Formation,"A distance, Paris",1200
Négociateur immobilier,"Cette formation centrée sur le métier de négociateur immobilier recouvre des aspects commerciaux, juridiques, fiscaux et techniques relatifs à l’immobilier.",,online,20,Hour,Aucun,Attestation de formation,Immobilier,Agent(e) immobilier(e),Sumatra Formation Conseil,A distance,50
Optimiser votre présence sur les réseaux sociaux et gérer des campagnes,Mettre en place une stratégie Social Media Optimization. Identifier le fonctionnement et les enjeux du Social Ads (Facebook et Instagram).Développer une présence sur Instagram. Créer et gérer des campagnes via LinkedIn Ads.,checked,online,3,Day,Une connaissance de base des règles médias.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Réseaux sociaux,,Ziggourat Formation,"A distance, Paris",2100
Outlook Initiation,"Envoyer, lire et gérer des e-mails.",checked,online,1,Day,Être à l'aise avec son environnement de travail Windows.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,Outlook,Ziggourat Formation,"A distance, Paris",0
Outlook Perfectionnement,"Envoyer, lire et gérer des e-mails.",checked,online,1,Day,"Être à l'aise avec son environnement de travail Windows et pratiquer le logiciel Outlook régulièrement.
Avoir suivi Outlook Initiation",Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,Outlook,Ziggourat Formation,"A distance, Paris",0
Ouvrir son gîte - sa chambre d'hôtes,Apprendre les connaissances nécessaires pour l'ouverture d'un gîte,checked,online,5,Day,"Maîtrise des outils bureautiques (traitement de texte, navigation internet, tableur)","Après réalisation d’un test d’évaluation, une
attestation d’acquisition de compétences vous
sera remise en fin de formation.",Entrepreneuriat,,CréActifs,"A distance, Paris",2200
Ouvrir son restaurant - son bar,Apprendre les connaissances nécessaires pour l'ouverture d'un restaurant ou d'un bar,checked,online,5,Day,"Maîtrise des outils bureautiques (traitement de texte, navigation internet, tableur)","Après réalisation d’un test d’évaluation, une
attestation d’acquisition de compétences vous
sera remise en fin de formation.",Entrepreneuriat,,CréActifs,"A distance, Paris",2200
"Photogravure : Réaliser votre photogravure, avec des méthodes simples, modernes et fiables",Acquérir une parfaite maîtrise de la photogravure numérique à travers un logiciel de retouche photo. Transposer un savoir faire traditionnel aux systèmes numériques.,checked,online,2,Day,"Avoir une bonne connaissance des logiciels Adobe, et particulièrement Photoshop.",Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d'un logiciel de PAO (PCIE - ICDL),Informatique,,Ziggourat Formation,"A distance, Paris",0
Photoshop : Détourage et photomontages complexes,Etre efficace lors de la réalisation de photomontages complexes et réalistes.,checked,online,3,Day,"Toute personne ayant suivi le stage Photoshop Perfectionnement ou possédant une très grande expérience sur ce logiciel.
Avoir suivi Photoshop Perfectionnement",Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,Photoshop,Ziggourat Formation,"A distance, Paris",1400
Photoshop : maquette digitale responsive,Identifier les spécificités et les contraintes du digital. Réaliser des maquettes graphiques adaptées et adaptatives.,checked,online,3,Day,"Une bonne maîtrise d'un logiciel de graphisme (Photoshop, Illustrator, Fireworks ou équivalent) est indispensable pour suivre cette formation. Des bases sur le langage HTML5/CSS3.",Vous avez la possibilité de passer une certification à l’issue de votre formation :  Utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,Photoshop,Ziggourat Formation,"A distance, Paris",1000
Photoshop : Matte Painting,Utiliser les fonctions avancées d'un logiciel de traitement d'image pour créer des détourages précis et réaliser des photomontages réalistes.,checked,online,3,Day,"Avoir une bonne connaissance du logiciel et des outils ou avoir suivi le stage Photoshop Initiation.
Avoir suivi Photoshop Initiation",Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,Photoshop,Ziggourat Formation,"A distance, Paris",1400
Photoshop : Retouche beauté,"Optimiser des retouches de maquillage, de morphologie, de texture de peau grâce aux fonctions avancées d'un logiciel de retouche et de traitement de l'image",checked,online,3,Day,"Avoir un niveau équivalent au stage Photoshop Perfectionnement ou avoir suivi la formation Photoshop Perfectionnement. Connaissance du milieu de la mode, de la beauté et du luxe. Avoir suivi Photoshop Perfectionnement",Vous avez la possibilité de passer une certification à l’issue de votre formation :  Utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,Photoshop,Ziggourat Formation,"A distance, Paris",1400
Photoshop : Retouches et colorimétrie,"Lister et décrire les différents standards de travail de la couleur dans les arts graphiques. Analyser et corriger des images, les adapter aux conditions de sortie. Adapter les réglages colorimétrique tout au long de la chaîne graphique pour obtenir les résultats visés.",checked,online,3,Day,"Avoir une bonne connaissance du logiciel et des outils ou avoir suivi le stage Photoshop Consolidation.
Avoir suivi Photoshop Consolidation",Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,Photoshop,Ziggourat Formation,"A distance, Paris",1400
Photoshop Consolidation,Utiliser les outils de sélection avancés d'un logiciel de retouche et de traitement de l'image.,checked,online,3,Day,"Maîtriser les fonctionnalités principales de Photoshop.
Avoir suivi Photoshop Les bases",Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,Photoshop,Ziggourat Formation,"A distance, Paris",1300
Photoshop et Adobe Dimension,"Créer des compositions d’images, les modifier et générer un rendu photo-réaliste grâce à des outils 3D.",checked,online,3,Day,"Il est nécessaire d‘avoir suivi un stage Photoshop Initiation ou d‘avoir maîtrise des calques et des masques pour accéder à cette formation.
Avoir suivi Photoshop Initiation",Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,Photoshop,Ziggourat Formation,"A distance, Paris",1400
Photoshop Expert,"Gérer et pratiquer les différentes fonctions les plus avancées d'un logiciel de retouche et de traitement de l'image. Utiliser des méthodes de détourage expert, et les bases de la 3D et de la vidéo.",checked,online,2,Day,Toute personne ayant suivi le stage Photoshop Perfectionnement ou possédant une très grande expérience sur ce logiciel. Avoir suivi Photoshop Perfectionnement,Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,Photoshop,Ziggourat Formation,"A distance, Paris",1100
Photoshop Initiation,Acquérir une méthode de retouche rationnelle et faire des retouches simples à l'aide d'un logiciel. Gérer et développer une méthode de travail pour créer et monter des images destinées à l'édition et au web avec un logiciel de retouche et de traitement de l'image.,checked,online,5,Day,"Toute personne ayant une bonne connaissance de Windows ou MacOS, désirant maîtriser le travail sur l'image numérique. Une culture de l'image et de la photographie est conseillée.",Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d'un logiciel d'édition d'images (ICDL-PCIE),Informatique,Photoshop,Ziggourat Formation,"A distance, Paris",1900
Photoshop Les bases,Identifier et cerner les fondamentaux d'un logiciel de retouche et de traitement de l'image. Acquérir une expérience pratique des techniques de base du photomontage.,checked,online,3,Day,"Toute personne ayant une bonne connaissance de Windows ou MacOS, désirant maîtriser le travail sur l'image numérique.",Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,Photoshop,Ziggourat Formation,"A distance, Paris",1250
Photoshop Perfectionnement,"Gérer et pratiquer les différentes fonctions avancées d'un logiciel de retouche et de traitement de l'image, tels que les couches, les outils de retouche et les objets dynamiques.",checked,online,3,Day,"Avoir une bonne connaissance du logiciel et des outils ou avoir suivi le stage Photoshop Initiation.
Avoir suivi Photoshop Les bases, Photoshop Consolidation, Photoshop Initiation",Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d’un logiciel d’édition d’images (ICDL-PCIE),Informatique,Photoshop,Ziggourat Formation,"A distance, Paris",1300
PHP et MySQL Initiation,Identifier et comprendre les mécanismes des sites dynamiques et du langage de programmation PHP (Hypertext Preprocessor) afin de développer des applications serveurs et exploiter des bases de données.,checked,online,5,Day,"Avoir des notions de programmation dans un langage quelconque, connaître un minimum l'HTML et les bases de données relationnelles.",Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,PHP,Ziggourat Formation,"A distance, Paris",2200
PHP et MySQL Perfectionnement,Identifier et comprendre les mécanismes des sites dynamiques et du langage de programmation PHP (Hypertext Preprocessor) afin de développer des applications serveurs et exploiter des bases de données.,checked,online,3,Day,Savoir déjà programmer en PHP ou avoir suivi la formation PHP & MySQL Initiation.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,PHP,Ziggourat Formation,"A distance, Paris",0
Podcast Audio Touch - Comment réaliser et diffuser vos podcasts de A à Z,"Apprendre à réaliser et diffuser ses podcasts pour les entrepreneurs, formateurs, communicants, musiciens et tous métiers communicants sur le Web",,online,2,Month,"Pratique courante d'internet au quotidien : traitement de texte, internet, réseaux sociaux
Disposer d'un ordinateur, d'une connexion internet et au minimum d'un smartphone",Attestation de stage détaillant les compétences acquises par le stagiaire.,"Journalisme, Médias & Cinéma",,Audio Formation,A distance,1480
PowerPoint Consolidation,Créer et optimiser des supports de présentation.,checked,online,2,Day,"Être à l'aise avec son environnement de travail Windows ou Mac OS et pratiquer le logiciel PowerPoint régulièrement.
Avoir suivi PowerPoint Initiation",Vous avez la possibilité de passer une certification à l’issue de votre formation :   Utilisation d'un logiciel de présentation (ICDL-PCIE),Informatique,PowerPoint,Ziggourat Formation,"A distance, Paris",550
PowerPoint Initiation,Créer et optimiser des supports de présentation.,checked,online,2,Day,Être à l'aise avec son environnement de travail Windows ou Mac OS. Utiliser des logiciels bureautiques tels que Word ou Excel. Avoir suivi Windows 10,Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d'un logiciel de présentation (ICDL-PCIE),Informatique,PowerPoint,Ziggourat Formation,"A distance, Paris",550
PowerPoint Perfectionnement,Créer et optimiser des supports de présentation.,checked,online,1,Day,Être à l'aise avec son environnement de travail Windows ou Mac OS et pratiquer le logiciel PowerPoint régulièrement de manière autodidacte ou ayant suivi une formation PowerPoint Initiation. Avoir suivi PowerPoint Initiation,Vous avez la possibilité de passer une certification à l’issue de votre formation :  Utilisation d'un logiciel de présentation (ICDL-PCIE),Informatique,PowerPoint,Ziggourat Formation,"A distance, Paris",300
PowerPoint Perfectionnement : Rendre ses présentations attractives,Créer et optimiser des supports de présentation.,checked,online,2,Day,"Être à l'aise avec son environnement de travail Windows ou Mac OS, avoir une utilisation régulière du logiciel PowerPoint et savoir gérer les masques, blocs et thèmes.
Avoir suivi PowerPoint Initiation",Vous avez la possibilité de passer une certification à l’issue de votre formation : Utilisation d'un logiciel de présentation (ICDL-PCIE),Informatique,PowerPoint,Ziggourat Formation,"A distance, Paris",750
Premiere Pro Initiation,"Identifier les aspects techniques des fichiers audio et vidéo, les principes du montage vidéo. Réaliser des montages structurés. Utiliser les différents supports pour diffuser ses vidéos.",checked,online,5,Day,Avoir une bonne maîtrise de l'outil informatique et des connaissances sur un logiciel de PAO.,Évaluation en fin de stage par la complétion d'un questionnaire et/ou d'une certification officielle issue du Répertoire Spécifique. Remise d'une attestation individuelle de réalisation.,Informatique,Premiere Pro,Ziggourat Formation,"A distance, Paris",1900
